0,1,2,3,4,5,6,7,8,9
Gece Yarısı Kütüphanesi,Matt Haig,DOMİNGO YAYINEVİ,"42 DİLE ÇEVRİLEN ULUSLARARASI ÇOKSATAN 2020 GOODREADS YILIN EN İYİ ROMANI “Yaşamla ölüm arasında bir kütüphane var,” dedi. “Bu kütüphanedeki raflar sonsuza kadar gider.  Her kitap yaşamış olabileceğin başka bir hayatı yaşama şansını sunar sana. Farklı seçimler yapmış olsan, şu an nasıl bir hayatın olacağını görürsün…Pişmanlıklarını telafi etme şansın olsaydı, bazı konularda farklı davranır mıydın?” Nora Seed berbat halde. Kedisi öldü. İşinden kovuldu. Abisi onunla konuşmuyor. Kimsenin ona ihtiyacı yok. Art arda alınmış kötü kararların sonucunda bir kütüphanede buluyor kendini. Zamanın hiç akmadığı bir gece yarısı kütüphanesinde, sonsuz sayıda kitabın ortasında... Kitapların her birinde Nora’nın farklı bir hayatı yazılı. Başka kararlar verseydi yaşamış olabileceği hayatlar. Farklı kariyerler, farklı eşler, farklı arkadaşlar, farklı şehirler arasında gidip gelen Nora’nın aklı sorularla doluyor. Mutluluk sadece önemli sandığımız seçimlerde mi gizli? Yanlış giden her detayın sorumlusu gerçekten biz miyiz? Hayatı yaşanılır kılan ne? Yanlış bir karar insanın tüm hayatına mal olabilir mi?İngiliz edebiyatının önemli isimlerinden Matt Haig; Nora’nın pişmanlıklara, ihtimallere ve yeniden seçme imkânına dair çıktığı bu yolculukta, ona eşlik edecek okurlara sürükleyici ve insanın en temel sorunlarını konu alan bir kurgu sunuyor. “Değişmesini istediğimiz bir dünyada hep birlikte sıkışıp  kalmışken, tam zamanında yazılmış bir modern çağ masalı, günümüzün Şahane Hayat’ı.”Jodi Picoult “Kitapların yaşamı değiştirme gücünü kutlayan, içtenlikle ve mizahla yazılmış, baştan çıkarıcı bir roman.”Sunday Times “Matt Haig sözcükleri konserve açacağı gibi kullanıyor. Konserve de biziz.”Jeanette Winterson","Çevirmen:
 Kıvanç Güney


Yayın Tarihi:
23.02.2022


Orijinal Adı:
The Midnight Library


ISBN:
9786051981833


Dil:
TÜRKÇE


Sayfa Sayısı:
283


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
14 x 21 cm",5,932,"




                    Okuyacağım                


                    3.238                






                    Okuyorum                


                    420                






                    Okudum                


                    3.414                


",65.825," 53,91"
Sular Üstünde Gökler Altında,Kaan Murat Yanık,KETEBE YAYINEVİ,"Amerika, aşk ve saflık yeniden keşfedilebilir mi? Sular Üstünde Gökler Altında, okurunu bir zaman makinesi gibi alıp 15. yüzyılın son demlerine götürüyor. Bu sürükleyici macerada rengârenk kahramanlarla birlikte İstanbul’dan Kırım’a, İspanya’ya, oradan Güney Amerika’ya ve Kazablanka’ya doğru nefes kesen bir yolculuğa çıkarken kendinizi birbirinden esrarlı olayların içinde bulacaksınız. Hem aşk derdinden kaçmak hem de babasının hayallerini gerçekleştirerek esaslı bir kâşif olmak için yola çıkan Kalender, âlemden âleme, zamandan zamana, halden hale savrulurken kendini derin çatışmaların ortasında bulacaktır. Kader rüzgârı onu Kristof Kolomb ile buluşturacak ve bu ikili o güne kadar hiçbir denizcinin açılmaya cesaret edemediği karanlık okyanuslara yelken açacaktır. Bakir topraklar üzerinde yol alırken öte yandan da birbirlerinin karanlıklarını ve kuyularını göreceklerdir. Tam dünyayı avuçlarında tuttuklarını sanırlarken işler bambaşka bir hale evrilecek ve tabiri caizse kızılca kıyamet kopacaktır. Kaptanlar, korsanlar, papazlar, şövalyeler, haydutlar, ressamlar, deniz kızları, kurbanlar, gizemli yerliler ve daha nicesiyle dolu bu görkemli atmosfer, aynı zamanda dönemin ruhunu tüm çıplaklığıyla yansıtan şehirler, yapılar, şarkılar, kitaplar, haritalar, diller ve katmanlı psikoportrelerle baş döndürüyor. Son dönem Türk romanının dikkat çeken isimlerinden Kaan Murat Yanık, mitlerle bezediği büyülü gerçekçi olayların bir karnaval havası yarattığı romanında, okurunu masmavi okyanuslarda, kakao ve vanilya kokularının yükseldiği yemyeşil ormanlarda, ışıltılı kurbağaların zıpladığı düşlerde ve Doğu ile Batı'nın dikenli sınırlarında dolaşmaya, bu efsunlu serüvene katılmaya davet ediyor. “Umut etmeye ve masalların içinde kaybolmaya ihtiyacımız var. Hayat karşısında başka türlü direnemeyiz.”","Yayın Tarihi:
07.03.2023


ISBN:
9786256999749


Dil:
TÜRKÇE


Sayfa Sayısı:
352


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13.5 x 21 cm",5,11,"




                    Okuyacağım                


                    99                






                    Okuyorum                


                    11                






                    Okudum                


                    18                


",1.502," 68,06"
Şeker Portakalı (Ciltsiz),Jose Mauro De Vasconcelos,CAN YAYINLARI,"“Ne güzel bir şeker portakalı fidanıymış bu! Hem bak, dikeni de yok. Pek de kişilik sahibiymiş, şeker portakalı olduğu ta uzaktan belli. Ben senin boyunda olsaydım başka şey istemezdim.”“Ama ben büyük bir ağaç istiyordum.”“İyi düşün, Zezé. Henüz gencecik bir fidan bu. Bir gün koca bir ağaca dönüşecek. Seninle beraber büyüyecek. İki kardeş gibi iyi anlaşacaksınız. Dalını gördün mü? Bir tanecik dalı olsa da sanki özellikle senin binmen için hazırlanmış bir ata benziyor.”Brezilya edebiyatının klasiklerinden Şeker Portakalı, José Mauro de Vasconcelos’un başyapıtı kabul edilir. Yetişkinler dünyasının sınırlamalarına hayal gücüyle meydan okuyan Zezé’nin yoksulluk, acı ve ümit dolu hikâyesi yazarın çocukluğundan derin izler taşır.Beş yaşındaki Zezé hemen her şeyi tek başına öğrenir: sadece bilye oynamayı ve arabalara asılmayı değil, okumayı ve sokak şarkıcılarının ezgilerini de. En yakın sırdaşıysa, anlattıklarına kulak veren ve Minguinho adını verdiği bir şeker portakalı fidanıdır…Şeker Portakalı’nın başkahramanı Zezé’nin büyüdükçe yaşadığı serüvenleri, yazarın Güneşi Uyandıralım ve Delifişek romanlarında izleyebilirsiniz.","Çevirmen:
 Emrah İmre


Kapak:
 Utku Lomlu


Yayın Tarihi:
06.09.2019


Orijinal Adı:
O Meu Pé de Laranja Lima


ISBN:
9789750738609


Dil:
TÜRKÇE


Sayfa Sayısı:
182


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
12.5 x 19.5 cm",5,10.216,"




                    Okuyacağım                


                    8.026                






                    Okuyorum                


                    1.164                






                    Okudum                


                    27.050                


",278.820," 48,75"
İnsanlığımı Yitirirken,Osamu Dazai,İTHAKİ YAYINLARI,"“… Ben hâlâ, ölmeyi bile becerememiş utanmaz, aptal bir hayaletten, ‘yaşayan bir cesetten’ başka bir şey değildim.”  Yirminci yüzyıl Japon edebiyatının önde gelen yazarlarından, sıradışı hayatıyla da meşhur Osamu Dazai, intiharından hemen önce tamamladığı, Japonya’nın en çok okunan romanlarından İnsanlığımı Yitirirken’de topluma dahil olmayı beceremeyen, her şeyi eline yüzüne bulaştıran, çevresindeki herkesi hayal kırıklığına uğratmaya mahkûm bir ötekinin acıklı hikâyesini anlatıyor. Dazai’nin yaşamıyla çokça paralellik taşıyan romanda, kendini çocukluğundan beri bir başarısızlık abidesi olarak gören, aristokrat bir ailenin oğlu Oba Yozo hem evde hem de okulda büründüğü “soytarı” rolüyle var olmaya çalışır. Bir itiraf niteliğindeki üç bölümden oluşan hatıratında alkolizmle, geyşalarla, sonuçsuz kalan intiharlarla dolu, “utanç” yüklü yaşamının günahını çıkarır. İnsanlığımı Yitirirken, Osamu Dazai’nin uzun yıllara yayılan edebi intihar mektubunun son bölümü.","Çevirmen:
 Peren Ercan


Yayın Tarihi:
28.12.2022


Orijinal Adı:
Ningen Şikkaku (人間失格)


ISBN:
9786258401479


Dil:
TÜRKÇE


Sayfa Sayısı:
128


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
12.5 x 19.5 cm",4,55,"




                    Okuyacağım                


                    266                






                    Okuyorum                


                    22                






                    Okudum                


                    178                


",4.726," 22,60"
Dad,Selahattin Demirtaş,DİPNOT YAYINLARI,"Başlangıçta koku biraz zorluyordu. Kanıksadım ama. Hatta seviyorum artık bu kokuyu. Yanık gibi. Hayatın gerçek kokusu. Şehir çöplüğü gibi kokuyor diyesim var fakat burası zaten şehir çöplüğü. Beş aydır burada yaşıyorum. Tamı tamına dört ay on sekiz gün. Duvara astığım kocaman bir kartonum var, her gün için bir çentik atıyorum üzerine, mahpuslar gibi. Çok rüzgar olduğunda duvardan düşüyor. “Evim” günün birinde tümden uçup giderse şaşırmam. Selahattin Demirtaş, bu yeni öykülerinde okurlarını benzersiz bir seyrana çıkarıyor: İstanbul çöplüğünden adliye koridorlarına, lüks villalardan vergi dairelerine, ıssız adalardan tımarhanelere uzanan; yer yer bilimkurgu ya da absürt komediye bürünen; yanlış anlamalarla, gıllıgışlı ihanetlerle, harika fantezilerle örülü; insan ruhunun gizemli dehlizlerinde acı ve tatlı kahkahalar attıran düşsel bir cümbüş. Kemerlerinizi bağlayın… ","Yayın Tarihi:
09.03.2023


ISBN:
9786057197948


Dil:
TÜRKÇE


Sayfa Sayısı:
152


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13 x 19.5 cm",4,2,"




                    Okuyacağım                


                    51                






                    Okuyorum                


                    3                






                    Okudum                


                    10                


",534," 49,50"
Saatleri Ayarlama Enstitüsü,Ahmet Hamdi Tanpınar,DERGAH YAYINLARI,"Ahmet Hamdi Tanpınar'ın şiiri sembolist bir ifade üzerine kurulmuştur. Aynı anlatım tarzı romanlarına da zaman zaman sirayet eder. Ancak muhteva açısından metafizik eğilimleri ile estetik endişelerini şiire ayırdığı halde, sosyal temalar için nesri seçmiştir. Romanları, zengin hayat hikayesinden taşarak Türkiye meselelerine kendine has yorumlar getirir.","Yayın Tarihi:
15.09.2017


ISBN:
9789759955762


Dil:
TÜRKÇE


Sayfa Sayısı:
382


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13.5 x 21 cm",5,2.685,"




                    Okuyacağım                


                    5.397                






                    Okuyorum                


                    588                






                    Okudum                


                    6.163                


",82.978," 68,75"
Yaşamak,Yu Hua,JAGUAR KİTAP,"Aile servetini yiyip tükettiği gençlik günlerinde, uzun bir hayatın ona neler sunacağından habersizdir elbette Fugui. Yıllar sonra, yaşlı öküzüyle tarlasını sürerken tanıştığı bir yabancıya hayatından söz etmeye başladığında, şımarık bir gencin başına gelenlerden fazlasını sayıp dökecektir bu yüzden: Fugui, kendisiyle birlikte altı insanın hayatını, kaderin sürprizlerini, yaşamın acılarını ve sevinçlerini anlatır. Onun dilinden -daha doğru bir ifadeyle Yu Hua’nın kaleminden- dökülenler, insanlık durumlarına dair epik bir romana dönüşür böylece. Basit bir anlatım, güçlü bir anlatı doğurur: Sabanın toprakta bıraktığı izlere benzer kâğıt üzerinde satırlar. Yaşamın her şeyi kapsaması gibi, Yaşamak da hayatı olduğu gibi kucaklar. Doğumları ve ölümleri, mutsuzlukları ve umutlarıyla...Yayımlandığında ülkesinde yasaklanmasına rağmen, bir hayat öyküsü okumamış da sanki bir hayat yaşamış olduklarını söyleyen okurlarının her geçen gün artmasıyla bir “modern klasik”e dönüşen Yaşamak’ı Bahar Kılıç, Çince aslından çevirdi.","Çevirmen:
 Bahar Kılıç


Yayın Tarihi:
28.11.2019


ISBN:
9786056587887


Dil:
TÜRKÇE


Sayfa Sayısı:
210


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
12.8 x 19.7 cm",5,930,"




                    Okuyacağım                


                    1.348                






                    Okuyorum                


                    113                






                    Okudum                


                    2.020                


",28.552," 40,90"
Kırmızı Pazartesi,Gabriel Garcia Marquez,CAN YAYINLARI,"Kolombiyalı büyük yazar Gabriel García Márquez’in 1981’de yayımlanan yedinci romanı Kırmızı Pazartesi, işleneceğini herkesin bildiği, engel olmak için kimsenin bir şey yapmadığı bir namus cinayetinin öyküsü. Hem Kolombiya’da, hem de yayımlandığı dünyanın dört bir yanındaki pek çok ülkede sarsıcı etkileri olmuş bir roman. Usta yazar, çocukluğunu geçirdiği kasabada yıllar önce yaşanmış bir cinayet olayını aktarıyor. Romanın kahramanı Santiago Nasar’ın öldürüleceği daha ilk satırlardan belli. Kırmızı Pazartesi, yalnızca bir cinayetin arka planını değil, bir halkın ortak davranış biçimlerinin potresini de çiziyor. Böylece, sonuna dek ilgiyle okuyacağınız bu kısa ve ölümsüz roman, bir toplumsal ruhçözümü niteliği de kazanmış oluyor.","Çevirmen:
 İnci Kut


Kapak:
 Utku Lomlu


Yayın Tarihi:
15.04.2019


ISBN:
9789750721571


Dil:
TÜRKÇE


Sayfa Sayısı:
120


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
12.5 x 19.5 cm",4,4.450,"




                    Okuyacağım                


                    4.693                






                    Okuyorum                


                    431                






                    Okudum                


                    12.080                


",115.536," 21,20"
Fareler ve İnsanlar,John Steinbeck,SEL YAYINCILIK,"Fareler ve İnsanlar, birbirine zıt karakterdeki iki mevsimlik tarım işçisinin, zeki George Milton ve onun güçlü kuvvetli ama akli dengesi bozuk yoldaşı Lennie Small’un öyküsünü anlatır. Küçük bir toprak satın alıp insanca bir hayat yaşamanın hayalini kuran bu ikilinin öyküsünde dostluk ve dayanışma duygusu önemli bir yer tutar. Steinbeck insanın insanla ilişkisini anlatmakla kalmaz insanın doğayla ve toplumla kurduğu ilişkileri de konu eder bu destansı romanında. Kitabın ismine ilham veren Robert Burns şiirindeki gibi; “En iyi planları farelerin ve insanların / Sıkça ters gider…""","Çevirmen:
 Ayşe Ece


Yayın Tarihi:
26.01.2023


ISBN:
9789755705859


Dil:
TÜRKÇE


Sayfa Sayısı:
111


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13.5 x 19.5 cm",5,4.504,"




                    Okuyacağım                


                    4.489                






                    Okuyorum                


                    363                






                    Okudum                


                    14.491                


",131.480," 42,86"
Bir Aşk Masalı,Ahmet Ümit,YAPI KREDİ YAYINLARI,"ÖZGÜRLÜK YOKSA AŞK DA YOKTUR Asla sevdiğin insanın gardiyanı olma… Bir varmış bir yokmuş, dünyada acayiplikler çokmuş. Bir gece beş farklı ülkede, beş prens aynı rüyayı görmüşler: Bir genç kız, kadim bir kentin alacakaranlık sokaklarında ışıktan bir güzellik halinde dolaşıyormuş. İşte o kızı gördükten sonra, artık ne eski hayatları kalmış ne de eski hakikatleri. Ahmet Ümit’ten insanlığın en yüce duygusu olan aşkın doğasına dair bir hikâyat. Bir Aşk Masalı, beş prensin sevda uğruna revan oldukları bir yol ve hal macerası. Kaf Dağı’ndan ıssız çöllere, ücra hanlardan savaşçı kabilelerin çadırlarına, devlerden denizkızlarına, balinalardan devasa yılanlara, cümle tabiatın ve mahlukatın geçiş yaptığı bir hayal perdesi. “Yolculukların en çilelisi aşk için yapılandır. Ve zorluk ne kadar artarsa aşk o kadar kıymete biner, o kadar anlam kazanır, o kadar vazgeçilmez bir hal alır…”","Yayın Tarihi:
10.10.2022


ISBN:
9789750854491


Dil:
TÜRKÇE


Sayfa Sayısı:
256


Cilt Tipi:
Karton Kapak


Kağıt Cinsi:
Kitap Kağıdı


Boyut:
13.5 x 23 cm",4,169,"




                    Okuyacağım                


                    845                






                    Okuyorum                


                    115                






                    Okudum                


                    603                


",14.633," 30,08"
